hastalık,nedir,belirtiler
Rektum Kanseri,"Rektum kanseri nedirsorusuna, kısaca; rektum kanseri, rektal bölgedeki hücrelerin büyümesidir ve bu büyüme kanserli hücre oluşumuna neden olur, yanıtını vermek mümkündür. Rektum kanseri ve kolon kanseri,kolorektal kanserismi ile de bilinir.","Rektum kanseri ilk belirtileriarasında, bağırsak hareketlerinin değişiklik göstermesidir. Bu durum daha sık tuvalete çıkma ya da kabızlık olarak kendisini gösterir. Bağırsak hareketlerinde meydana gelen bu değişiklik, özellikle kadın hastalarda daha sık görülür.Rektum kanseri belirtileri, kanserin hangi evrede olduğuna göre de değişiklik gösteren bir durumdur. Rektum kanserinin genel belirtileri arasında şu maddelere yer verilir; Makattan kan gelmesiDışkıda kanKabızlık ya da ishalDışkıda mukus görülmesiDışkılamanın yetersiz hissedilmesi ya da bağırsağı tamamen boşaltamamaKarın bölgesinde meydana gelen şiddetli ağrıKarın kramplarıAni kilo kaybıBaş dönmesiDışkının ince bir yapıda olmasıNefes darlığıGüçsüzlük ve halsizlik hali"
Saçkıran (Alopesi Areata),"Alopesi areata; toplumda sık görülen, bölgesel saç, sakal, bıyık, kaş, kirpik ve bazen de göğüste, sırtta kıl dökülmeleri ile karakterize hastalıktır. Alopesi’de sıklıkla oval veya yuvarlak bazen de üçgen şeklinde bir veya birkaç adet yama görülür. Bazı hastalarda yama şeklindeki dökülmeler giderek yayılarak saçlı derideki tüm saçların kaybına yol açabilir, bu durumda hastalığa artık alopesi totalis denir. Eğer vücuttaki tüm kıllarda kayıp varsa hastalık alopesi üniversalis şeklinde isimlendirilir.","Çoğunlukla estetik görüntü bozukluğu dışında semptom göstermez ancak vakaların az bir kısımında kaşıntı, hassasiyet, yanma hissi ve ağrı varlığı tespit edilmiştir. Kıl ve kıl köklerinin dışında tırnaklarda meydana gelen bazı değişiklikler de saçkıran habercisi olabilir. Tırnaklarda görülen bazı değişiklikler şunlardır: Tırnak üstünde girinti çıkıntı şeklinde çukurlarTırnakta beyaz lekeler veya çizgilerTırnaklarda sertleşme, incelme ve güçsüzleşmeTırnaklarda kırılma, soyulmaTırnaklarda soluk görünüm"
Safra Kesesi Taşı,"Safra kesesi taşı, karaciğerin ürettiği safra sıvısının karaciğerin alt kısmında yer alan safra kesesinde birikerek sertleşmesiyle oluşan, çakıl taşı benzeri oluşumlardır. Bu taşlar genellikle kolesterol veya safra pigmentlerinden meydana gelir. Yağlı yemekler tükettikten sonra sağ üst karın bölgesinde şiddetli ağrı, bulantı, kusma gibi belirtiler verebilir. Teşhis için genellikleultrasonkullanılır ve tedavi genellikle laparoskopik cerrahi ile safra kesesinin çıkarılması şeklindedir. Ancak taşın büyüklüğüne ve hastanın durumuna göre ilaç tedavisi veya diğer cerrahi yöntemler de tercih edilebilir.",
Sarılık,"Hemolitik sarılık, kırmızı kan hücrelerinin aşırı hızda parçalanması sonucu ortaya çıkabilir.Hepatik sarılık, karaciğerin fonksiyonlarını etkileyen bir durumun belirtisi olabilir.Obstrüktif sarılıkise safra kanallarının tıkanması sonucu meydana gelir. Yenidoğanlarda sıkça görülen sarılık ise genellikle karaciğerin bilirubini işleme kapasitesinin yetersiz olmasından kaynaklanır.Sarılık belirtileriçoğunlukla cildin sararması ile belirgin hale gelir, ancak farklı belirtilerle de birlikte görülebilir.",Sarılık belirtilerigenellikle gözle fark edilebilen cilt ve göz beyazlarında sararma ile ortaya çıkar. Bazı durumlarda belirti göstermeyebilir. Sarılıkla birlikte meydana gelen bazı belirtiler şunları içerir: Cilt ve göz beyazlarında sararmaKoyu renkte idrarHalsizlik ve enerji kaybıİştah kaybıAteşKarın ağrısı ve rahatsızlık
Sedef Hastalığı,,"Sedef hastalığı belirtilerikişiden kişiye göre değişiklik gösterir. Bazı kişilerde belirtiler yavaş yavaş oluşurken, bazı kişilerde ise aniden ortaya çıkabilir. Ortaya çıkan bu belirtiler şu şekilde sıralanabilir: En önemli belirtisi kızarıklık, kaşıntı ve pul pul plaklarTırnaklarda sarı, kahverengi gibi renk değişimleriTırnakta oluşan ezilmeler ve tırnak ve derinin birbirinden ayrılmasıSaç derisinde oluşan şiddetli kepek gibi belirtiler sedef hastalığına işaret olabilir."
Sırt Ağrısı,"Sırt ağrısı, sırt bölgesindeki herhangi bir kısımda hissedilen acı veya rahatsızlık olarak tanımlanır. Bu ağrı boyun bölgesinden bel bölgesine kadar herhangi bir yerde ortaya çıkabilir ve süresi değişkenlik gösterebilir. Sırt ağrısı kas zorlanmaları, sinir sıkışmaları, travma, postür bozuklukları veya bazı sağlık koşullarıyla ilişkilendirilerek meydana gelebilir.","Sırt ağrısı  genellikle birçok farklı belirti ve semptomla kendini gösterir.  Sırt ağrısı yaşayan kişiler ağrı, sınırlı hareketlilik, kas gerilmesi ve bazen nörolojik semptomlar gibi belirtilerle karşılaşabilirler. Aynı zamanda sırt ağrısı sürekli bir sorun haline gelirse bu durum yorgunluk, halsizlik ve yaşam kalitesinde düşüş gibi diğer etkileri de beraberinde getirebilir. Sırt ağrısı belirtileri şunlardır: Ağrı veya Rahatsızlık: Sırt ağrısı sıklıkla sırt bölgesinde hissedilen bir ağrı veya rahatsızlık olarak kendini gösterir. Ağrı şiddeti hafiften şiddetliye kadar değişebilir.Sınırlı Hareket: Sırt ağrısı yaşayan kişiler sırtlarının belli bir bölgesinde veya genel olarak hareketlerini kısıtlayabilirler. Bu sınırlı hareket günlük aktiviteleri yapmayı zorlaştırabilir.Kas Gerilmesi: Bazı sırt ağrıları sırt kaslarında gerginlik veya spazmlara yol açabilir. Bu durum sırtın belirli bölgelerinde kasların kasılmasına neden olabilir.Yayılma: Sırt ağrısı, sıklıkla belirli bir bölgeden diğer bölgelere yayılabilir. Örneğin,bel ağrısıbacaklara yayılabilir ve bu durum ""sciatica"" olarak adlandırılır.Nörolojik Semptomlar: Bazı sırt problemleri, nörolojik semptomlara neden olabilir. Bu semptomlar arasında bacaklarda uyuşma, karıncalanma ve zayıflık bulunabilir.Akut ve Kronik Ağrı: Sırt ağrısı akut veya kronik olabilir. Akut ağrı, ani bir yaralanma veya olay sonucu aniden başlar ve genellikle kısa süreli bir sorundur. Kronik ağrı ise altı haftadan uzun süre devam eden ve uzun vadeli yönetim gerektiren bir durumdur.Yorgunluk ve Halsizlik: Sürekli sırt ağrısı yaşayan kişiler, bu durumdan dolayı yorgunluk ve halsizlik hissedebilirler. Uykusuzluk ve dinlenememe gibi faktörler de bu belirtilere katkıda bulunabilir.Başka Sağlık Sorunları: Sırt ağrısı, bazen başka sağlık sorunlarına da işaret edebilir. Örneğin, böbrek veya iç organ sorunları sırt ağrısı ile ilişkilendirilebilir."
Sinüzit,"Sinüzit, burun ve yüz kemiklerindeki sinüs boşluklarında meydana gelen enfeksiyonun bir sonucu olarak meydana gelen bir rahatsızlıktır. Çoğunlukla viral enfeksiyonlar, bakteriyel enfeksiyonlar veya alerjik reaksiyonlar sonucu oluşabilir. Sinüs boşlukları sağlıklı kişilerde hava ve mukus ile doludur, ancak enfeksiyon veya alerji durumunda bu boşluklar iltihaplanarak şişer ve mukus birikimine neden olur. Sinüzit, kişilerde yaygın olarak baş ağrısı, burun tıkanıklığı ve yüz bölgesinde oluşan basınç hissi gibi belirtilerle kendini gösterebilir. Kronik sinüzit atakları, kişilerin günlük yaşam kalitesini olumsuz etkileyebilir. Tedavi genellikle dinlenme, sıvı alımı, burun spreyleri ve gerekirse antibiyotikleri içerir. Ayrıca, inhalerler, antihistaminikler ve alerji ilaçları da alerjik sinüzitin yönetiminde kullanılabilir.",
Sistit,"İdrar yolu enfeksiyonunun mesaneyi etkileyen türü olan sistit, en sık görülenidrar yolu enfeksiyonutürünü oluşturur. Daha kısa bir tanımla “sistit nedir?” sorusu idrar kesesinin iltihaplanması olarak yanıtlanabilir. Çoğu zaman bakterilerin neden olduğu akut enfeksiyonlar şeklinde ortaya çıkar. Özellikle kadınlar arasında sistit ve genel olarak idrar yolu enfeksiyonu oldukça yaygındır. “Kadınlarda sistit neden olur?” sorusunun en önemli yanıtı ise anatomik yapıdır.","Hastalık enfeksiyonun şiddetinin artmasıyla birlikte belirginleşen çeşitli semptomlarla kendini gösterir. “Sistit belirtileri nelerdir?” sorusuna yanıt olarak verilebilecek en yaygın örnekler ise şunlardır: Sık sık ve az miktarda idrara çıkmaİdrar yaparken yanma, acı hissetme ve zorlanmaİdrarda kan görülmesi (hematüri)Pelvik bölgede (alt karın ve kasıklar) ağrı ve baskı hissiAteş"
Siyatik,"Siyatik, siyatik sinirin sıkışması veya tahrişi sonucu meydana gelen bir ağrı durumudur. Siyatik sinir, vücudun en büyük sinirlerinden biridir ve alt sırttan başlayarak kalçalar, uyluklar ve bacaklara kadar uzanır. Siyatik ağrısı genellikle tek taraflıdır ve bel bölgesinden başlayarak bacağın arka kısmına doğru yayılabilir.",
Skolyoz,"Skolyoz nedirsorusu, özellikle ergenlik döneminde sıkça sorulmaktadır. Skolyoz, çoğunlukla ergenlik çağında teşhis edilen, omurganın yana doğru eğriliğidir. Bu durum, omurga sağlığını etkileyebilir ve duruş bozukluğuna neden olabilir. Serebral palsi ve kas distrofisi gibi rahatsızlıkları olan kişilerde skolyoz ortaya çıkabilirken, çocukluk çağı skolyozunun çoğunun nedeni bilinmemektedir. Çoğuskolyoz hastalığıhafif semptomlar gösterir, ancak çocuklarda görülen bazı vakalarda çocuklar büyüdükçe semptomlar kötüleşebilir. Skolyoz, omuzların asimetrisi, belde eğrilik ve sırtta ağrı gibi belirtilerle kendini gösterir ve basitçe ""skolyoz ne demek"" sorusunun cevabı, omurganın normal yapısından sapması demektir.","Skolyozun belirtileri, omurgada eğrilik, omuz eşitsizliği, bel ağrısı, kamburluk ve sırtta çıkıntı gibi fiziksel değişiklikleri içerebilir. Tanı genellikle fizik muayene, radyolojik görüntüleme ve hastanın tıbbi geçmişinin değerlendirilmesiyle konulur. Skolyoz rahatsızlığı başlangıçta ciddi bir belirti vermeden ilerleyebilir. Bu nedenle ilerleyen dönemlerde farklı sağlık sorunlarına yol açabilir ve tedavisi de daha zor bir hale gelebilir. Belirti ve şikâyetin az olduğu evrelerde genellikle farklı bir nedenle çekilen röntgenlerde tespit edilebilir. Eğriliğin derecesi: Eğrilik ne kadar fazlaysa, ağrı olma olasılığı o kadar yüksektir.Eğriliğin konumu: Eğrilik, omurganın üst veya alt kısmındaysa, ağrı olma olasılığı daha yüksektir.Omurgadaki diğer problemler: Skolyoz, omurgada diğer problemlere de neden olabilir, bu da ağrıya neden olabilir."
SMA (Spinal Musküler Atrofi),"Spinal Müsküler Atrofi(SMA), omurilikteki motor nöronları etkileyen genetik bir nöromüsküler hastalıktır. Bu nöronlar kas hareketlerini kontrol eder. SMA'da motor nöron kaybı, ilerleyici kas güçsüzlüğüne ve atrofisine (kas kütlesinin azalması) yol açar. SMA'nın nedeni SMN1 genindeki bir kusurdur. Bu gen, motor nöronların hayatta kalması için gerekli olan SMN proteininin üretiminden sorumludur. SMA'lı kişilerde SMN1 geni ya yoktur ya da mutasyona uğramıştır, bu da yetersiz miktarda işlevsel SMN proteinine yol açar. SMA'nın farklı tipleri vardır ve bunlar semptomların şiddetine ve başlangıç yaşına göre değişir. SMA'nın belirtileri arasında kas güçsüzlüğü, kas atrofisi, hareket sorunları, solunum ve yutma sorunları ve gelişimsel gecikmeler yer alır.","SMA belirtileri, hastalığın tipine ve şiddetine göre değişiklik gösterebilir. Ancak genel olarak bazı belirtiler SMA'lı bireylerde sıkça görülür. İşte SMA'nın başlıca belirtileri: SMA'nın en belirgin belirtisi kas güçsüzlüğüdür. Bu güçsüzlük genellikle vücudun merkezi kısımlarından (omurga, kalça) başlayarak uzuvlara doğru ilerler.Kas güçsüzlüğü zamanla kasların küçülmesine (atrofi) yol açar.Bebeklerde baş kontrolünde zorluk, oturma, emekleme ve yürüme gibi motor becerilerde gecikme görülebilir.Daha büyük çocuklarda ve yetişkinlerde yürüme güçlüğü, merdiven çıkma zorluğu, eşya taşıma güçlüğü gibi belirtiler ortaya çıkabilir."
Şaşılık,"Şaşılık, gözlerin normal hizalanmadığı bir göz rahatsızlığıdır. Bu durumda bir veya her iki göz, normalde aynı nesneye odaklanması gereken bir hizadan sapar ve farklı yönlere bakar. Şaşılık, göz kaslarının dengesiz çalışması sonucu ortaya çıkar. Bu durum, çocukluk döneminde veya yetişkinlikte gelişebilir ve görme sorunlarına neden olabilir. Şaşılık, göz cerrahisi veya gözlük gibi tedavi yöntemleri ile düzeltilmeye çalışılır.","Şaşılık belirtileri, arasında gözlerin farklı yönlere bakması, bir veya her iki gözün kayması,çift görme, baş ağrısı, göz yorgunluğu, göz yanılsamaları, odaklanma güçlüğü, göz kızarıklığı ve gözlerin estetik olarak farklı görünmesi yer alabilir. Şaşılık, çocukluk döneminde veya yetişkinlikte gelişebilir ve tedavi edilmezse görme sorunlarına yol açabilir. Bu belirtiler varsa, bir göz doktoruna başvurmak önemlidir çünkü erken teşhis ve tedavi, şaşılığın düzeltilmesine yardımcı olabilir. Göz muayenesi:Göz hareketleri ve görme keskinliğini değerlendirir.Refraksiyon testi:Kırma kusurlarını tespit etmek için bir refraksiyon testi yapılırOrtoptik muayene:Göz kaslarının koordinasyonu değerlendirilir."
Testis Kanseri,,
Timoma,"Timoma, timus bezinden kaynaklanan, genellikle iyi huylu seyreden ama bazı durumlarda çevre dokulara yayılabilen bir tümör türüdür. Timus bezinin epitelyal hücrelerinden gelişir.",
Tiroid Kanseri,"Tiroid kanseri nedir? sorusunun cevabı için temel düzeyde basit bir tanımlama yapmak gerekir. Tiroid kanseri, boynun ön kısmında, Adem elması olarak bilinen kıkırdağın hemen altında yer alan kelebek şeklindeki tiroid bezinde başlayan bir kanser türüdür. Tiroid bezi, vücudun metabolizmasını, büyümesini ve gelişimini düzenleyen hormonlar üretir.","Tiroid kanseri, çoğu zaman erken dönemde belirgin bir belirti göstermez. Ancak hastalık ilerledikçe veya tiroiddeki tümör büyüdükçe, bazı belirtiler ortaya çıkabilir.Tiroid kanseri belirtilerigenellikle diğer tiroid hastalıklarıyla benzerlik gösterebilir, bu nedenle belirtiler göründüğünde mutlaka bir doktora başvurulması önemlidir. Evre 0:En erken evredir. Kanser hücreleri sadece tiroid bezinin içindedir ve genellikle çok küçüktür.Evre I:Kanser, tiroid bezinin dışına yayılmadan büyümüştür.Evre II:Kanser, tiroid bezinin dışına yayılmış ve yakın lenf bezlerine ulaşmıştır.Evre III:Kanser, tiroid bezinin dışına yayılmış ve boyundaki diğer dokulara veya daha uzak lenf bezlerine ulaşmıştır.Evre IV:Kanser, vücudun uzak organlarına (akciğerler, kemikler gibi) yayılmıştır."
Topuk Dikeni,"Topuk dikeni,ayaktabanında yer alan topuk kemiğinin yakınında gelişen bir kemik çıkıntısıdır. Tıbbi terim olarak kalkaneal spur olarak adlandırılan bu oluşum genellikleplantar fasyaadı verilen bağ dokusunun tahriş ve inflamasyonu sonucu meydana gelir. Plantar fasya ayak tabanını destekleyen ve ayağın esnekliğini sağlayan önemli bir yapıdır. Topuk dikeni bu bağ dokusunun topuk kemiği yakınında bulunan noktasının uzun süreli tahrişine bağlı olarak ortaya çıkar.",
Trombosit (PLT),"Trombositler; platelet veya kan pulcuğu olarak da adlandırılmaktadır.Vücudun çok fazla kan kaybetmesini önlemek ile görevli kan hücreleridir. Trombositler; plazma, kırmızı ve beyaz kan hücreleri ile birlikte kanı oluşturur. Bu bileşenler arasında en hafif olanı trombositlerdir. Trombositler hafif olmalarından dolayı kan damarlarının duvarlarına yakın bulunur. Bu sayede kanama anında hızla hasar görmüş kan damarının duvarına ulaşır.",
Tüberküloz (Verem),"Tüberküloz nedir?sorusunu kısaca, çoğunlukla akciğerleri etkileyen Mycobacterium tuberculosis bakterisinin neden olduğu enfesiyonel bir hastalıktır şeklinde cevaplayabiliriz. Sadece akciğerleri değil; omurga, beyin, böbrekler gibi diğer organlarıda etkileyebilir. Hastalığa sahip kişilerin öksürmesi, hapşırması ve tükürmesi ile mikroplar havaya dağılır ve bulaşa sebep olur. Bakteri bulaştığı halde belirtiniz yoksa inaktif tüberküloz ya da latent tüberküloz enfeksiyonuna sahip olduğunuz anlamına gelir. Eğer ki enfeksiyonunuz belirtiler gösteriyor ise ve bulaşıcı iseniz aktif tüberküloza sahip olduğunuz anlamına gelir.","Tüberküloz belirtileriaktif tüberkülozu olan kişilerde belirtiler görülür. Birincil ya da pasif tüberkülozu olan kişiler belirti vermezler. Aktif tüberkülozda rastlanan belirtiler: İki haftadan uzun süren öksürükÖksürükle beraber kan veya mukus (balgam) gelmesiGöğüste ağrıGece terlemeleriYorgunlukİştah kaybı, zayıflıkAteş"
Uyku Apnesi,“Apne” kelimesi Latince nefes durması veya nefes darlığı şeklinde tanımlanabilir. Bu kapsamda uyku apnesi uyku esnasında nefesin kesilmesi veya çok sığ hale gelmesi durumudur. Nefesin kesilmesi ile oluşan oksijen eksikliği hayati tehlikenin oluşmaması adına bir refleks olarak uyanmaya neden olabilir. Bu refleks kişinin hayatta kalmasına olanak tanır ancak uyku döngüsünü kesintiye uğratabilir. Bu durum sağlıklı uykunun engellenmesine ve kalbe stres binmesine sebebiyet verebilir. Ayrıca potansiyel olarak birtakım ölümcül problemlerin oluşmasına katkıda bulunabilir.,Obstrüktif ve merkezi uyku apnesi belirtileri çoğunlukla benzer şekilde ortaya çıkabilir. Bu nedenle teşhis bazı durumlarda zor olabilir. Obstrüktif ve merkezi uyku apnesinde görülebilen bulgular şunları içerebilir: Yüksek sesli horlama: Genellikle horlama oluşabilir ancak her apne vakasında horlama ortaya çıkmayabilir.Nefes darlığı: Nefesin kesilmesi ve boğuluyormuş gibi his yaşanabilir.Uyurken tekrar tekrar uyanmak: Bireyler genellikle neden uyandıklarını anlamayabilir. Ancak nefes kesilmesi durumunda sıklıkla uyku kesintiye uğrayabilir.Yorgunluk ve bitkinlik: Kişiler uyandığında kendini aşırı yorgun ve bitkin hissedebilir.Gündüz uykululuğu: Uyku döngüsünün bozulması uykusuzluğa yol açtığından gündüz uykululuğa neden olabilir.Ruh hali değişiklikleri:En belirgin özellikleri anksiyete ve depresyon olabilir.
Ülseratif Kolit,"Ülseratif kolit, kalın bağırsağın (kolon) iç yüzeyinde iltihaplanma ve yaralar (ülserler) oluşmasıyla karakterize edilen, genellikle kanlı ishal, karın ağrısı ve yorgunluk gibi belirtilerle seyreden bir inflamatuar bağırsak hastalığıdır. Hastalık, genetik ve bağışıklık sistemi faktörlerinin etkisiyle gelişir ve en sık rektumdan başlayarak kalın bağırsağın diğer bölgelerine yayılabilir. Teşhis, endoskopik incelemeler ve kan testleriyle konur, tedavi ise ilaçlar (anti-inflamatuar ilaçlar, immünosupresifler, biyolojik tedavi) ve gerektiğinde cerrahi müdahalelerle yapılır. Uzun süre tedavi edilmezse komplikasyonlar, örneğin kolon kanseri riski, toksik megakolon ve kanamalar gibi ciddi durumlar gelişebilir.","Ülseratif Kolit belirtileri, genellikle kanlı ishal, karın ağrısı, kramp ve yorgunluktan oluşur. Hastalar, bağırsaklarda iltihaplanma nedeniyle sık sık dışkılama ihtiyacı hissedebilir ve dışkıda kan ya da mukus görülebilir. Ayrıca, mide krampları ve şişlik gibi karın rahatsızlıkları, hastalığın diğer yaygın belirtileridir. Bu belirtiler zaman zaman şiddetlenebilir, özellikle hastalık aktif olduğunda. Kanlı İshal:Bu, ülseratif kolitin en karakteristik belirtisidir. Dışkıda parlak kırmızı kan görülebilir.Karın Ağrısı ve Kramplar:Özellikle sol alt karın bölgesinde ağrı ve kramplar yaygındır.Acil Tuvalet İhtiyacı:Sık sık ve acil tuvalet ihtiyacı hissedilir, ancak her zaman dışkılama olmaz.Rektal Ağrı ve Kanama:Rektumda ağrı, hassasiyet ve kanama görülebilir.Yorgunluk ve Halsizlik:Kronik inflamasyon ve kan kaybı nedeniyle yorgunluk ve halsizlik yaygındır.Kilo Kaybı ve İştahsızlık:İshal, karın ağrısı ve iştahsızlık nedeniyle kilo kaybı görülebilir.Ateş:Özellikle şiddetli vakalarda ateş görülebilir.Dışkıda Sümük:Dışkıda sümüksü bir yapı görülebilir."
Vajinal Akıntı,,
Vajinal Mantar,,"Vajinal mantar enfeksiyonunun belirtileri kişiden kişiye ve enfeksiyonun derecesine göre farklılık gösterebilse de genellikle aşağıdaki şekillerde belirtiler ortaya çıkar: Kaşıntı: Vajina ve vulva (dış cinsel organlar) bölgesinde şiddetli ve rahatsız edici kaşıntı hissi en sık görülen belirtidir.Yanma: İdrar yaparken veya cinsel ilişki sırasında yanma veya rahatsızlık hissi yaşanabilir.Akıntı: Beyaz veya hafif renkte, peynir kesiği gibi görünen ve kalın bir kıvama sahip akıntı ortaya çıkabilir.Kızarıklık ve Şişlik: Vajina ve vulva bölgesinde kızarıklık, şişlik veya hassasiyet olabilir.Ağrı: Bazı durumlarda vajina bölgesinde hafif ağrı veya rahatsızlık hissi olabilir."
Varis,"Varis, toplardamarların (venler) genişleyerek bükülmüş bir hal almasıyla ortaya çıkan bir sağlık sorunudur. Bacaklarda daha sık görülse de vücudun farklı bölgelerinde de oluşabilir. Toplardamarların içindeki kanın kalbe doğru akışını sağlayan kapakçıkların bozulması, kanın damarlarda birikmesine ve bu genişlemelere neden olur. Varisler genellikle genetik yatkınlık, uzun süre ayakta durma,hamilelik,obezitegibi faktörlerle tetiklenir. Belirtileri arasında bacaklarda ağrı, şişlik, ağırlık hissi, kramplar ve ciltte renk değişiklikleri yer alır. Görünüm olarak mor veya mavi renkte, bükülmüş ve şişkin damarlar şeklindedir.","Varis belirtilerigenellikle bacaklarda yoğunlaşır, ancak daha ileri vakalarda vücudun diğer bölgelerinde de görülebilir. İşte varisin en yaygın belirtileri: Görünür Damarlar"
Vertigo,Vertigonun bazı türlerinin çeşitli egzersizlerle etkisi hafifletilebilir ve geçirilebilir. Ancak doğru egzersizin uygulanması için öncelikle tanı konulmalı ve problemin kulağın hangi bölümünde olduğu bilinmelidir. Vertigo tedavisinde  Brandt-Daroff egzersizleri ismi verilen göz ve baş ile yapılan çeşitli hareketler kullanılır. Örneğin BPPV’de Epley ve Semont manevraları tercih edilebilir.,"Vertigo belirtileriarasında baş dönmesi, denge kaybı, bulantı, kusma ve kulak çınlaması yer alabilir. Kulak çınlaması ve duyma sorunlarıDenge kaybıYürüme güçlüğü ve yer yön tatbikinde zorlanmaSabit olduğu halde dönme hissiBulantı, kusmaGörüşte bozulma, göz kararmasıGüç kaybıKulaklarda zonklama, basınç hissiSersemlikDüz bir çizgide yürümekte zorlanmaUnutkanlıkSakarlık ve düşme korkusu"
Vücutta Kendiliğinden Oluşan Morluklar,"Vücutta morarma, cilt altında bulunan küçük kan damarlarının (kılcal damarlar) hasar görmesi sonucu kanın dokulara sızmasıyla oluşan renk değişikliğidir. Tıbbi olarak bu duruma ekimoz adı verilir. Genellikle darbe veya travma sonrası ortaya çıkan bu renk değişikliği, cilt yüzeyinden görülebilir ve başlangıçta koyu mavi-mor renkte olup zamanla yeşil, sarı tonlarına dönüşerek iyileşir.",
Yarık Damak,Anne karnında bulunan bebek dokuz ay boyunca her dönemde farklı şekilde gelişim gösterir. Damak ve damağı oluşturan oluşturan dokunun uygun dönemde gelişim göstermemesi sonucunda yarık damak oluşumu gözlenebilir. Yarık damak bebeğin damakta bir açıklık (yarık) ile doğmasında ortaya çıkan bir durumdur. Bu durum sonucunda burun ve ağız arasında bir boşluk oluşabilir. Ortaya çıkan açıklık damağın arka tarafında (yumuşak damak) veya diş etlerinin hemen arkasında bulunan sert damak bölgesinde oluşum gösterebilir.,
Yarık Dudak,"Dudaklar, hamileliğin 4 ila 7 haftası arasında oluşan dokulardır. Başın her iki yanındaki dokular yüzün ortasına doğru birleşerek dudakları ve ağzı oluşturur. Konjenital anormallikler gelişmesi halinde dokular tam olarak birleşemeyebilir ve yarık dudak problemi açığa çıkabilir. Bu durumun sonucunda üst dudağın iki kenarı arasında bir açıklık veya boşluk gelişir. Yarık küçük bir girintiden burnuna ulaşan büyük bir boşluğa kadar değişebilir. Bazı vakalarda bu aradaki boşluğa diş etleri ve ağzını çatısı da dahil olabilir. Yarık dudak gelişen bazı vakalarda yarık damak problemiyle de karşılaşmak bu nedenle mümkündür.",
Yemek Borusu Kanseri,,
Yumurtalık Kisti,,
Zatürre,"Zatürre, akciğerde bulunan hava keselerinin iltihaplanmasına sebep olan bir enfeksiyondur. Bu durum sonucunda akciğerlerde bulunan hava keseleri sıvı veya irin (pürülan madde) ile dolabilir.",
Zona Hastalığı,"Zona, Herpes zoster adı verilen suçiçeği hastalığına neden olan virüsten gelir. Zona hastalığı genellikle suçiçeği geçirmiş olan kişilerde görülür. Suçiçeği hastalığı geçirdikten sonra virüs vücutta kalabilir. Yıllar sonra tekrar etkinleşip zona olarak karşımıza çıkabilir. Zona hastalığı genellikle sırtta, göğüste, karında, yüzde, pelviste oluşur. Kaşıntılı, ağrılı, sıvı dolu kabarcıklar halinde görülen bir hastalıktır.",
